cluster,mean_prop_dead,mean_prop_alive,fisher_odds,fisher_p,dead_present,dead_absent,alive_present,alive_absent
2,0.25982340793116887,0.11694864455190583,8.142857142857142,0.09147609147609148,19,1,14,6
0,0.11764342407277877,0.018891695958196758,6.333333333333333,0.18176418176418174,19,1,15,5
7,0.1275690905656638,0.025488232637023177,3.0,0.19079257232761124,10,10,5,15
1,0.12075348362327665,0.29296383163318684,,0.48717948717948717,20,0,18,2
6,0.10338679253176389,0.1785231438009287,0.6190476190476191,0.7310941471119448,13,7,15,5
3,0.07882506066201997,0.17318677123023035,0.7959183673469388,1.0,13,7,14,6
5,0.13669738794547928,0.13841780915568913,,1.0,20,0,20,0
4,0.05530135266784877,0.055579871032839255,1.2272727272727273,1.0,9,11,8,12
